indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Active travel to work,Inverclyde,S12000018,Council area,2016,2016/2017  survey years,NA,8.2,4,12.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2016,2016/2017  survey years,NA,3.8,1.2,6.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2016,2016/2017  survey years,NA,21.5,14.6,28.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2016,2016/2017  survey years,NA,13.4,6.5,20.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2016,2016/2017  survey years,NA,18.6,12.8,24.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2016,2016/2017  survey years,NA,19.4,12.7,26.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2016,2016/2017  survey years,NA,19.8,12.9,26.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2016,2016/2017  survey years,NA,6.9,3.8,10,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2016,2016/2017  survey years,NA,10.8,5.8,15.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2016,2016/2017  survey years,NA,8.8,5.5,12.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2016,2016/2017  survey years,NA,15,9.4,20.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2016,2016/2017  survey years,NA,26.1,20.8,31.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2016,2016/2017  survey years,NA,8.9,5.3,12.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2016,2016/2017  survey years,NA,19.7,11.8,27.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2016,2016/2017  survey years,NA,29.6,25.8,33.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2016,2016/2017  survey years,NA,7.8,3.6,12,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2016,2016/2017  survey years,NA,10.8,5.7,15.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2016,2016/2017  survey years,NA,8.6,4.8,12.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2016,2016/2017  survey years,NA,14.1,8.6,19.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2016,2016/2017  survey years,NA,18.1,11.4,24.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2016,2016/2017  survey years,NA,6.7,4,9.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2016,2016/2017  survey years,NA,10.7,5,16.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2016,2016/2017  survey years,NA,16.9,14,19.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2017,2017/2018  survey years,NA,14.8,13.8,15.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2017,2017/2018  survey years,NA,8.2,5.5,10.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2017,2017/2018  survey years,NA,16.9,10.9,23,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2017,2017/2018  survey years,NA,18.5,11.5,25.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2017,2017/2018  survey years,NA,11.4,7.8,15,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2017,2017/2018  survey years,NA,10.7,7.4,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2017,2017/2018  survey years,NA,18,14.8,21.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2017,2017/2018  survey years,NA,13.7,11.7,15.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2017,2017/2018  survey years,NA,18.2,14.1,22.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2017,2017/2018  survey years,NA,8.4,6.2,10.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2017,2017/2018  survey years,NA,19.5,17.1,22,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2017,2017/2018  survey years,NA,18.7,13.4,24,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2017,2017/2018  survey years,NA,9,5.2,12.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2017,2017/2018  survey years,NA,19.7,15.7,23.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Western Isles,S08000028,Health board,2017,2017/2018  survey years,NA,13.4,8.9,17.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2017,2017/2018  survey years,NA,7.4,3.2,11.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2017,2017/2018  survey years,NA,18.5,11.5,25.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2017,2017/2018  survey years,NA,6.2,3,9.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2017,2017/2018  survey years,NA,10.5,6.1,14.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2017,2017/2018  survey years,NA,5,1.9,8.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2017,2017/2018  survey years,NA,13.4,8.9,17.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2017,2017/2018  survey years,NA,11.9,6.8,17.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2017,2017/2018  survey years,NA,11.4,7.8,15,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2017,2017/2018  survey years,NA,17,12.2,21.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2017,2017/2018  survey years,NA,10.3,5.2,15.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2017,2017/2018  survey years,NA,8.1,3.7,12.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2017,2017/2018  survey years,NA,18.9,12,25.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2017,2017/2018  survey years,NA,10,4.2,15.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2017,2017/2018  survey years,NA,18.7,13.4,24,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2017,2017/2018  survey years,NA,19.5,12.9,26,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2017,2017/2018  survey years,NA,16.9,10.9,23,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2017,2017/2018  survey years,NA,9,5.2,12.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2017,2017/2018  survey years,NA,8.9,4.2,13.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2017,2017/2018  survey years,NA,10,6.5,13.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2017,2017/2018  survey years,NA,9.9,5.3,14.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2017,2017/2018  survey years,NA,20.6,15.6,25.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2017,2017/2018  survey years,NA,15.2,10.2,20.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2017,2017/2018  survey years,NA,22.2,14,30.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2017,2017/2018  survey years,NA,28.3,24.5,32.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2017,2017/2018  survey years,NA,6.8,2.5,11,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2017,2017/2018  survey years,NA,12.5,6.3,18.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2017,2017/2018  survey years,NA,6.3,3.3,9.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2017,2017/2018  survey years,NA,18,10.7,25.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2017,2017/2018  survey years,NA,21.3,14.3,28.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2017,2017/2018  survey years,NA,6.9,4.3,9.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2017,2017/2018  survey years,NA,12.5,6.4,18.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2017,2017/2018  survey years,NA,17.7,14.7,20.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2018,2018/2019  survey years,NA,14.6,13.7,15.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2018,2018/2019  survey years,NA,8.1,5.4,10.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2018,2018/2019  survey years,NA,16.8,10.9,22.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2018,2018/2019  survey years,NA,13.7,7.1,20.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2018,2018/2019  survey years,NA,12,8.5,15.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2018,2018/2019  survey years,NA,10.2,6.7,13.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2018,2018/2019  survey years,NA,16.6,13.5,19.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2018,2018/2019  survey years,NA,12.7,10.9,14.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2018,2018/2019  survey years,NA,20.1,15.7,24.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2018,2018/2019  survey years,NA,7.9,5.8,10,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2018,2018/2019  survey years,NA,20.7,18.2,23.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2018,2018/2019  survey years,NA,25,18.4,31.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2018,2018/2019  survey years,NA,12.6,7.6,17.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2018,2018/2019  survey years,NA,20.7,16.8,24.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Western Isles,S08000028,Health board,2018,2018/2019  survey years,NA,14,9.2,18.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2018,2018/2019  survey years,NA,4.8,1.8,7.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2018,2018/2019  survey years,NA,13.7,7.1,20.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2018,2018/2019  survey years,NA,8.8,4.2,13.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2018,2018/2019  survey years,NA,10.8,6.4,15.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2018,2018/2019  survey years,NA,4.9,0.6,9.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2018,2018/2019  survey years,NA,14,9.2,18.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2018,2018/2019  survey years,NA,9.5,4.4,14.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2018,2018/2019  survey years,NA,12,8.5,15.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2018,2018/2019  survey years,NA,18.4,13.2,23.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2018,2018/2019  survey years,NA,9.3,3.9,14.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2018,2018/2019  survey years,NA,11.6,6.6,16.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2018,2018/2019  survey years,NA,12.9,7.4,18.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2018,2018/2019  survey years,NA,9.7,4.2,15.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2018,2018/2019  survey years,NA,25,18.4,31.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2018,2018/2019  survey years,NA,20.2,13.5,26.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2018,2018/2019  survey years,NA,16.8,10.9,22.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2018,2018/2019  survey years,NA,12.6,7.6,17.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2018,2018/2019  survey years,NA,5.5,2,9,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2018,2018/2019  survey years,NA,8.9,5.6,12.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2018,2018/2019  survey years,NA,14,7.2,20.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2018,2018/2019  survey years,NA,21.4,16.2,26.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2018,2018/2019  survey years,NA,13.4,8.8,18,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2018,2018/2019  survey years,NA,24.9,16.8,33,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2018,2018/2019  survey years,NA,28.8,25.1,32.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2018,2018/2019  survey years,NA,4.1,1.3,6.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2018,2018/2019  survey years,NA,8.7,3.8,13.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2018,2018/2019  survey years,NA,7.8,4.2,11.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2018,2018/2019  survey years,NA,22.1,14.3,30,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2018,2018/2019  survey years,NA,20.2,14.1,26.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2018,2018/2019  survey years,NA,6.9,4.3,9.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2018,2018/2019  survey years,NA,7.2,3.2,11.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2018,2018/2019  survey years,NA,18.6,15.5,21.6,Percentage,Scottish Household Survey (SHS)
Active travel to school,Scotland,S00000001,Scotland,2008,2008/09 school year,203360,52.19,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2009,2009/10 school year,206758,50.1,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2010,2010/11 school year,215884,49.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2011,2011/12 school year,212713,50.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2012,2012/13 school year,225982,50.37,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2013,2013/14 school year,234004,50.83,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2014,2014/15 school year,244390,51.1,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2015,2015/16 school year,237687,50.35,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2016,2016/17 school year,225427,49.85,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2017,2017/18 school year,229645,49.37,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2018,2018/19 school year,227078,49.23,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2019,2019/20 school year,225028,48.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2020,2020/21 school year,207044,51.72,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,Scotland,S00000001,Scotland,2021,2021/22 school year,209283,50.8,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2008,2008/09 school year,14834,50.53,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2009,2009/10 school year,13821,46.87,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2010,2010/11 school year,12196,44.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2011,2011/12 school year,13708,45.71,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2012,2012/13 school year,15354,48.1,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2013,2013/14 school year,16227,50.31,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2014,2014/15 school year,18133,52.54,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2015,2015/16 school year,17996,50.4,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2016,2016/17 school year,16785,48.73,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2017,2017/18 school year,16010,49.16,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2018,2018/19 school year,16261,47.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2019,2019/20 school year,14886,47.01,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2020,2020/21 school year,10115,46.12,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Ayrshire & Arran,S08000015,Health board,2021,2021/22 school year,11596,48.67,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2008,2008/09 school year,7215,52.55,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2009,2009/10 school year,6622,51.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2010,2010/11 school year,6850,51.3,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2011,2011/12 school year,6594,49.61,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2012,2012/13 school year,6563,49.85,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2013,2013/14 school year,6550,50.21,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2014,2014/15 school year,6464,50.39,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2015,2015/16 school year,6448,49.61,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2016,2016/17 school year,6412,50.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2017,2017/18 school year,6149,48.91,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2018,2018/19 school year,6474,49.6,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2019,2019/20 school year,6257,49.46,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2020,2020/21 school year,1165,58.1,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Borders,S08000016,Health board,2021,2021/22 school year,4815,51.95,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2008,2008/09 school year,4419,49.22,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2009,2009/10 school year,5232,43.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2010,2010/11 school year,5369,43.2,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2011,2011/12 school year,6003,45.39,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2012,2012/13 school year,6813,46.58,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2013,2013/14 school year,6764,46.47,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2014,2014/15 school year,7062,48.94,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2015,2015/16 school year,5932,47.79,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2016,2016/17 school year,6245,45.29,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2017,2017/18 school year,6028,44.42,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2018,2018/19 school year,5180,43.62,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2019,2019/20 school year,5311,42.51,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2020,2020/21 school year,4893,45.18,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Dumfries & Galloway,S08000017,Health board,2021,2021/22 school year,4775,47.78,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2008,2008/09 school year,10234,52.71,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2009,2009/10 school year,6894,47.88,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2010,2010/11 school year,11965,48.93,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2011,2011/12 school year,13300,55.07,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2012,2012/13 school year,12801,54.02,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2013,2013/14 school year,12757,52.19,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
Active travel to school,NHS Forth Valley,S08000019,Health board,2014,2014/15 school year,12623,54.48,NA,NA,Percentage,"Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)"
